--------------------NEW LOG--------------------
Logger started at: 2021-9-23 18:41:9
Validation Loss Decreased(inf--->0.02466) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Epoch 1000 		 Training Loss: 0.01226 		 Validation Loss: 0.01589
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
--------------------NEW LOG--------------------
Logger started at: 2021-9-23 18:43:9
Validation Loss Decreased(inf--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01226 		 Validation Loss: 0.01589
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Epoch 200 		 Training Loss: 0.01226 		 Validation Loss: 0.01589
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Epoch 300 		 Training Loss: 0.01226 		 Validation Loss: 0.01589
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
Validation Loss Decreased(0.01589--->0.01589) 	 Saving The Model
