--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:36:43
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
Validation Loss Decreased(0.00917--->0.00912) 	 Saving The Model
Validation Loss Decreased(0.00912--->0.00911) 	 Saving The Model
Validation Loss Decreased(0.00911--->0.00907) 	 Saving The Model
Validation Loss Decreased(0.00907--->0.00901) 	 Saving The Model
Validation Loss Decreased(0.00901--->0.00900) 	 Saving The Model
Validation Loss Decreased(0.00900--->0.00897) 	 Saving The Model
Validation Loss Decreased(0.00897--->0.00895) 	 Saving The Model
Validation Loss Decreased(0.00895--->0.00894) 	 Saving The Model
Validation Loss Decreased(0.00894--->0.00892) 	 Saving The Model
Validation Loss Decreased(0.00892--->0.00891) 	 Saving The Model
Validation Loss Decreased(0.00891--->0.00889) 	 Saving The Model
Validation Loss Decreased(0.00889--->0.00888) 	 Saving The Model
Validation Loss Decreased(0.00888--->0.00886) 	 Saving The Model
Validation Loss Decreased(0.00886--->0.00885) 	 Saving The Model
Validation Loss Decreased(0.00885--->0.00885) 	 Saving The Model
Validation Loss Decreased(0.00885--->0.00883) 	 Saving The Model
Validation Loss Decreased(0.00883--->0.00882) 	 Saving The Model
Validation Loss Decreased(0.00882--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00880) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01044 		 Validation Loss: 0.00908
Validation Loss Decreased(0.00880--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00872) 	 Saving The Model
Validation Loss Decreased(0.00872--->0.00869) 	 Saving The Model
Validation Loss Decreased(0.00869--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00862) 	 Saving The Model
Validation Loss Decreased(0.00862--->0.00859) 	 Saving The Model
Validation Loss Decreased(0.00859--->0.00855) 	 Saving The Model
Validation Loss Decreased(0.00855--->0.00851) 	 Saving The Model
Validation Loss Decreased(0.00851--->0.00847) 	 Saving The Model
Validation Loss Decreased(0.00847--->0.00842) 	 Saving The Model
Validation Loss Decreased(0.00842--->0.00838) 	 Saving The Model
Validation Loss Decreased(0.00838--->0.00834) 	 Saving The Model
Validation Loss Decreased(0.00834--->0.00830) 	 Saving The Model
Validation Loss Decreased(0.00830--->0.00827) 	 Saving The Model
Validation Loss Decreased(0.00827--->0.00824) 	 Saving The Model
Validation Loss Decreased(0.00824--->0.00822) 	 Saving The Model
Validation Loss Decreased(0.00822--->0.00820) 	 Saving The Model
Validation Loss Decreased(0.00820--->0.00818) 	 Saving The Model
Validation Loss Decreased(0.00818--->0.00815) 	 Saving The Model
Validation Loss Decreased(0.00815--->0.00813) 	 Saving The Model
Validation Loss Decreased(0.00813--->0.00811) 	 Saving The Model
Validation Loss Decreased(0.00811--->0.00809) 	 Saving The Model
Validation Loss Decreased(0.00809--->0.00809) 	 Saving The Model
Validation Loss Decreased(0.00809--->0.00808) 	 Saving The Model
Validation Loss Decreased(0.00808--->0.00808) 	 Saving The Model
Validation Loss Decreased(0.00808--->0.00808) 	 Saving The Model
Validation Loss Decreased(0.00808--->0.00808) 	 Saving The Model
Epoch 200 		 Training Loss: 0.00916 		 Validation Loss: 0.00818
Epoch 300 		 Training Loss: 0.00858 		 Validation Loss: 0.00827
Epoch 400 		 Training Loss: 0.00829 		 Validation Loss: 0.00831
Epoch 500 		 Training Loss: 0.00782 		 Validation Loss: 0.00851
Epoch 600 		 Training Loss: 0.00711 		 Validation Loss: 0.00936
Epoch 700 		 Training Loss: 0.00640 		 Validation Loss: 0.01057
Epoch 800 		 Training Loss: 0.00593 		 Validation Loss: 0.01159
Epoch 900 		 Training Loss: 0.00549 		 Validation Loss: 0.01212
Epoch 1000 		 Training Loss: 0.00596 		 Validation Loss: 0.01192
Epoch 1100 		 Training Loss: 0.00558 		 Validation Loss: 0.01147
Epoch 1200 		 Training Loss: 0.00495 		 Validation Loss: 0.01195
Epoch 1300 		 Training Loss: 0.00491 		 Validation Loss: 0.01188
Epoch 1400 		 Training Loss: 0.00461 		 Validation Loss: 0.01267
Epoch 1500 		 Training Loss: 0.00429 		 Validation Loss: 0.01264
Epoch 1600 		 Training Loss: 0.00434 		 Validation Loss: 0.01271
Epoch 1700 		 Training Loss: 0.00417 		 Validation Loss: 0.01259
Epoch 1800 		 Training Loss: 0.00386 		 Validation Loss: 0.01282
Epoch 1900 		 Training Loss: 0.00381 		 Validation Loss: 0.01273
Epoch 2000 		 Training Loss: 0.00413 		 Validation Loss: 0.01240
Epoch 2100 		 Training Loss: 0.00369 		 Validation Loss: 0.01352
Stopping the training early		Model saved
	Training Loss: 0.003353540552780032
	Validation Loss: 0.008075340650975704




RMSE of validation set: 5.276112615908955
RMSE of entire data set: 3.154184023637205




