--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:23:8
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
Validation Loss Decreased(0.01564--->0.01499) 	 Saving The Model
Validation Loss Decreased(0.01499--->0.01427) 	 Saving The Model
Validation Loss Decreased(0.01427--->0.01412) 	 Saving The Model
Validation Loss Decreased(0.01412--->0.01396) 	 Saving The Model
Validation Loss Decreased(0.01396--->0.01396) 	 Saving The Model
Validation Loss Decreased(0.01396--->0.01395) 	 Saving The Model
Validation Loss Decreased(0.01395--->0.01385) 	 Saving The Model
Validation Loss Decreased(0.01385--->0.01378) 	 Saving The Model
Validation Loss Decreased(0.01378--->0.01377) 	 Saving The Model
Validation Loss Decreased(0.01377--->0.01364) 	 Saving The Model
Validation Loss Decreased(0.01364--->0.01353) 	 Saving The Model
Validation Loss Decreased(0.01353--->0.01345) 	 Saving The Model
Validation Loss Decreased(0.01345--->0.01339) 	 Saving The Model
Validation Loss Decreased(0.01339--->0.01334) 	 Saving The Model
Validation Loss Decreased(0.01334--->0.01331) 	 Saving The Model
Validation Loss Decreased(0.01331--->0.01329) 	 Saving The Model
Validation Loss Decreased(0.01329--->0.01328) 	 Saving The Model
Validation Loss Decreased(0.01328--->0.01328) 	 Saving The Model
Validation Loss Decreased(0.01328--->0.01322) 	 Saving The Model
Validation Loss Decreased(0.01322--->0.01316) 	 Saving The Model
Validation Loss Decreased(0.01316--->0.01310) 	 Saving The Model
Validation Loss Decreased(0.01310--->0.01304) 	 Saving The Model
Validation Loss Decreased(0.01304--->0.01299) 	 Saving The Model
Validation Loss Decreased(0.01299--->0.01294) 	 Saving The Model
Validation Loss Decreased(0.01294--->0.01291) 	 Saving The Model
Validation Loss Decreased(0.01291--->0.01288) 	 Saving The Model
Validation Loss Decreased(0.01288--->0.01286) 	 Saving The Model
Validation Loss Decreased(0.01286--->0.01284) 	 Saving The Model
Validation Loss Decreased(0.01284--->0.01283) 	 Saving The Model
Validation Loss Decreased(0.01283--->0.01283) 	 Saving The Model
Validation Loss Decreased(0.01283--->0.01282) 	 Saving The Model
Validation Loss Decreased(0.01282--->0.01282) 	 Saving The Model
Validation Loss Decreased(0.01282--->0.01282) 	 Saving The Model
Validation Loss Decreased(0.01282--->0.01281) 	 Saving The Model
Validation Loss Decreased(0.01281--->0.01280) 	 Saving The Model
Validation Loss Decreased(0.01280--->0.01278) 	 Saving The Model
Validation Loss Decreased(0.01278--->0.01276) 	 Saving The Model
Validation Loss Decreased(0.01276--->0.01273) 	 Saving The Model
Validation Loss Decreased(0.01273--->0.01270) 	 Saving The Model
Validation Loss Decreased(0.01270--->0.01266) 	 Saving The Model
Validation Loss Decreased(0.01266--->0.01263) 	 Saving The Model
Validation Loss Decreased(0.01263--->0.01260) 	 Saving The Model
Validation Loss Decreased(0.01260--->0.01257) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01105 		 Validation Loss: 0.01255
Validation Loss Decreased(0.01257--->0.01255) 	 Saving The Model
Validation Loss Decreased(0.01255--->0.01252) 	 Saving The Model
Validation Loss Decreased(0.01252--->0.01251) 	 Saving The Model
Validation Loss Decreased(0.01251--->0.01249) 	 Saving The Model
Validation Loss Decreased(0.01249--->0.01248) 	 Saving The Model
Validation Loss Decreased(0.01248--->0.01247) 	 Saving The Model
Validation Loss Decreased(0.01247--->0.01246) 	 Saving The Model
Validation Loss Decreased(0.01246--->0.01245) 	 Saving The Model
Validation Loss Decreased(0.01245--->0.01244) 	 Saving The Model
Validation Loss Decreased(0.01244--->0.01243) 	 Saving The Model
Validation Loss Decreased(0.01243--->0.01242) 	 Saving The Model
Validation Loss Decreased(0.01242--->0.01240) 	 Saving The Model
Validation Loss Decreased(0.01240--->0.01239) 	 Saving The Model
Validation Loss Decreased(0.01239--->0.01237) 	 Saving The Model
Validation Loss Decreased(0.01237--->0.01235) 	 Saving The Model
Validation Loss Decreased(0.01235--->0.01234) 	 Saving The Model
Validation Loss Decreased(0.01234--->0.01232) 	 Saving The Model
Validation Loss Decreased(0.01232--->0.01231) 	 Saving The Model
Validation Loss Decreased(0.01231--->0.01229) 	 Saving The Model
Validation Loss Decreased(0.01229--->0.01228) 	 Saving The Model
Validation Loss Decreased(0.01228--->0.01228) 	 Saving The Model
Validation Loss Decreased(0.01228--->0.01227) 	 Saving The Model
Validation Loss Decreased(0.01227--->0.01227) 	 Saving The Model
Validation Loss Decreased(0.01227--->0.01226) 	 Saving The Model
Validation Loss Decreased(0.01226--->0.01226) 	 Saving The Model
Validation Loss Decreased(0.01226--->0.01225) 	 Saving The Model
Validation Loss Decreased(0.01225--->0.01224) 	 Saving The Model
Validation Loss Decreased(0.01224--->0.01224) 	 Saving The Model
Validation Loss Decreased(0.01224--->0.01223) 	 Saving The Model
Validation Loss Decreased(0.01223--->0.01222) 	 Saving The Model
Validation Loss Decreased(0.01222--->0.01222) 	 Saving The Model
Validation Loss Decreased(0.01222--->0.01221) 	 Saving The Model
Validation Loss Decreased(0.01221--->0.01220) 	 Saving The Model
Validation Loss Decreased(0.01220--->0.01220) 	 Saving The Model
Validation Loss Decreased(0.01220--->0.01220) 	 Saving The Model
Validation Loss Decreased(0.01220--->0.01220) 	 Saving The Model
Validation Loss Decreased(0.01220--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01219) 	 Saving The Model
Validation Loss Decreased(0.01219--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01218) 	 Saving The Model
Validation Loss Decreased(0.01218--->0.01217) 	 Saving The Model
Validation Loss Decreased(0.01217--->0.01217) 	 Saving The Model
Validation Loss Decreased(0.01217--->0.01217) 	 Saving The Model
Validation Loss Decreased(0.01217--->0.01217) 	 Saving The Model
Validation Loss Decreased(0.01217--->0.01217) 	 Saving The Model
Validation Loss Decreased(0.01217--->0.01216) 	 Saving The Model
Validation Loss Decreased(0.01216--->0.01216) 	 Saving The Model
Validation Loss Decreased(0.01216--->0.01216) 	 Saving The Model
Validation Loss Decreased(0.01216--->0.01216) 	 Saving The Model
Validation Loss Decreased(0.01216--->0.01215) 	 Saving The Model
Validation Loss Decreased(0.01215--->0.01215) 	 Saving The Model
Validation Loss Decreased(0.01215--->0.01215) 	 Saving The Model
Validation Loss Decreased(0.01215--->0.01214) 	 Saving The Model
Validation Loss Decreased(0.01214--->0.01214) 	 Saving The Model
Validation Loss Decreased(0.01214--->0.01213) 	 Saving The Model
Validation Loss Decreased(0.01213--->0.01213) 	 Saving The Model
Validation Loss Decreased(0.01213--->0.01213) 	 Saving The Model
Validation Loss Decreased(0.01213--->0.01212) 	 Saving The Model
Validation Loss Decreased(0.01212--->0.01212) 	 Saving The Model
Validation Loss Decreased(0.01212--->0.01211) 	 Saving The Model
Validation Loss Decreased(0.01211--->0.01211) 	 Saving The Model
Validation Loss Decreased(0.01211--->0.01210) 	 Saving The Model
Validation Loss Decreased(0.01210--->0.01210) 	 Saving The Model
Validation Loss Decreased(0.01210--->0.01209) 	 Saving The Model
Validation Loss Decreased(0.01209--->0.01209) 	 Saving The Model
Validation Loss Decreased(0.01209--->0.01208) 	 Saving The Model
Validation Loss Decreased(0.01208--->0.01208) 	 Saving The Model
Validation Loss Decreased(0.01208--->0.01207) 	 Saving The Model
Validation Loss Decreased(0.01207--->0.01207) 	 Saving The Model
Validation Loss Decreased(0.01207--->0.01206) 	 Saving The Model
Validation Loss Decreased(0.01206--->0.01206) 	 Saving The Model
Validation Loss Decreased(0.01206--->0.01205) 	 Saving The Model
Validation Loss Decreased(0.01205--->0.01205) 	 Saving The Model
Validation Loss Decreased(0.01205--->0.01204) 	 Saving The Model
Validation Loss Decreased(0.01204--->0.01204) 	 Saving The Model
Validation Loss Decreased(0.01204--->0.01203) 	 Saving The Model
Validation Loss Decreased(0.01203--->0.01203) 	 Saving The Model
Validation Loss Decreased(0.01203--->0.01203) 	 Saving The Model
Validation Loss Decreased(0.01203--->0.01202) 	 Saving The Model
Validation Loss Decreased(0.01202--->0.01202) 	 Saving The Model
Validation Loss Decreased(0.01202--->0.01201) 	 Saving The Model
Validation Loss Decreased(0.01201--->0.01201) 	 Saving The Model
Validation Loss Decreased(0.01201--->0.01200) 	 Saving The Model
Validation Loss Decreased(0.01200--->0.01200) 	 Saving The Model
Validation Loss Decreased(0.01200--->0.01199) 	 Saving The Model
Validation Loss Decreased(0.01199--->0.01199) 	 Saving The Model
Validation Loss Decreased(0.01199--->0.01198) 	 Saving The Model
Validation Loss Decreased(0.01198--->0.01198) 	 Saving The Model
Validation Loss Decreased(0.01198--->0.01198) 	 Saving The Model
Epoch 200 		 Training Loss: 0.01011 		 Validation Loss: 0.01197
Validation Loss Decreased(0.01198--->0.01197) 	 Saving The Model
Validation Loss Decreased(0.01197--->0.01197) 	 Saving The Model
Validation Loss Decreased(0.01197--->0.01196) 	 Saving The Model
Validation Loss Decreased(0.01196--->0.01196) 	 Saving The Model
Validation Loss Decreased(0.01196--->0.01195) 	 Saving The Model
Validation Loss Decreased(0.01195--->0.01195) 	 Saving The Model
Validation Loss Decreased(0.01195--->0.01194) 	 Saving The Model
Validation Loss Decreased(0.01194--->0.01194) 	 Saving The Model
Validation Loss Decreased(0.01194--->0.01194) 	 Saving The Model
Validation Loss Decreased(0.01194--->0.01193) 	 Saving The Model
Validation Loss Decreased(0.01193--->0.01193) 	 Saving The Model
Validation Loss Decreased(0.01193--->0.01192) 	 Saving The Model
Validation Loss Decreased(0.01192--->0.01192) 	 Saving The Model
Validation Loss Decreased(0.01192--->0.01191) 	 Saving The Model
Validation Loss Decreased(0.01191--->0.01191) 	 Saving The Model
Validation Loss Decreased(0.01191--->0.01191) 	 Saving The Model
Validation Loss Decreased(0.01191--->0.01190) 	 Saving The Model
Validation Loss Decreased(0.01190--->0.01190) 	 Saving The Model
Validation Loss Decreased(0.01190--->0.01189) 	 Saving The Model
Validation Loss Decreased(0.01189--->0.01189) 	 Saving The Model
Validation Loss Decreased(0.01189--->0.01188) 	 Saving The Model
Validation Loss Decreased(0.01188--->0.01188) 	 Saving The Model
Validation Loss Decreased(0.01188--->0.01187) 	 Saving The Model
Validation Loss Decreased(0.01187--->0.01187) 	 Saving The Model
Validation Loss Decreased(0.01187--->0.01187) 	 Saving The Model
Validation Loss Decreased(0.01187--->0.01186) 	 Saving The Model
Validation Loss Decreased(0.01186--->0.01186) 	 Saving The Model
Validation Loss Decreased(0.01186--->0.01185) 	 Saving The Model
Validation Loss Decreased(0.01185--->0.01185) 	 Saving The Model
Validation Loss Decreased(0.01185--->0.01184) 	 Saving The Model
Validation Loss Decreased(0.01184--->0.01184) 	 Saving The Model
Validation Loss Decreased(0.01184--->0.01183) 	 Saving The Model
Validation Loss Decreased(0.01183--->0.01183) 	 Saving The Model
Validation Loss Decreased(0.01183--->0.01183) 	 Saving The Model
Validation Loss Decreased(0.01183--->0.01182) 	 Saving The Model
Validation Loss Decreased(0.01182--->0.01182) 	 Saving The Model
Validation Loss Decreased(0.01182--->0.01181) 	 Saving The Model
Validation Loss Decreased(0.01181--->0.01181) 	 Saving The Model
Validation Loss Decreased(0.01181--->0.01180) 	 Saving The Model
Validation Loss Decreased(0.01180--->0.01180) 	 Saving The Model
Validation Loss Decreased(0.01180--->0.01179) 	 Saving The Model
Validation Loss Decreased(0.01179--->0.01179) 	 Saving The Model
Validation Loss Decreased(0.01179--->0.01178) 	 Saving The Model
Validation Loss Decreased(0.01178--->0.01178) 	 Saving The Model
Validation Loss Decreased(0.01178--->0.01178) 	 Saving The Model
Validation Loss Decreased(0.01178--->0.01177) 	 Saving The Model
Validation Loss Decreased(0.01177--->0.01177) 	 Saving The Model
Validation Loss Decreased(0.01177--->0.01176) 	 Saving The Model
Validation Loss Decreased(0.01176--->0.01176) 	 Saving The Model
Validation Loss Decreased(0.01176--->0.01175) 	 Saving The Model
Validation Loss Decreased(0.01175--->0.01175) 	 Saving The Model
Validation Loss Decreased(0.01175--->0.01174) 	 Saving The Model
Validation Loss Decreased(0.01174--->0.01174) 	 Saving The Model
Validation Loss Decreased(0.01174--->0.01173) 	 Saving The Model
Validation Loss Decreased(0.01173--->0.01173) 	 Saving The Model
Validation Loss Decreased(0.01173--->0.01172) 	 Saving The Model
Validation Loss Decreased(0.01172--->0.01172) 	 Saving The Model
Validation Loss Decreased(0.01172--->0.01172) 	 Saving The Model
Validation Loss Decreased(0.01172--->0.01171) 	 Saving The Model
Validation Loss Decreased(0.01171--->0.01171) 	 Saving The Model
Validation Loss Decreased(0.01171--->0.01170) 	 Saving The Model
Validation Loss Decreased(0.01170--->0.01170) 	 Saving The Model
Validation Loss Decreased(0.01170--->0.01169) 	 Saving The Model
Validation Loss Decreased(0.01169--->0.01169) 	 Saving The Model
Validation Loss Decreased(0.01169--->0.01168) 	 Saving The Model
Validation Loss Decreased(0.01168--->0.01168) 	 Saving The Model
Validation Loss Decreased(0.01168--->0.01168) 	 Saving The Model
Validation Loss Decreased(0.01168--->0.01167) 	 Saving The Model
Validation Loss Decreased(0.01167--->0.01167) 	 Saving The Model
Validation Loss Decreased(0.01167--->0.01166) 	 Saving The Model
Validation Loss Decreased(0.01166--->0.01166) 	 Saving The Model
Validation Loss Decreased(0.01166--->0.01165) 	 Saving The Model
Validation Loss Decreased(0.01165--->0.01165) 	 Saving The Model
Validation Loss Decreased(0.01165--->0.01164) 	 Saving The Model
Validation Loss Decreased(0.01164--->0.01164) 	 Saving The Model
Validation Loss Decreased(0.01164--->0.01164) 	 Saving The Model
Validation Loss Decreased(0.01164--->0.01163) 	 Saving The Model
Validation Loss Decreased(0.01163--->0.01163) 	 Saving The Model
Validation Loss Decreased(0.01163--->0.01162) 	 Saving The Model
Validation Loss Decreased(0.01162--->0.01162) 	 Saving The Model
Validation Loss Decreased(0.01162--->0.01161) 	 Saving The Model
Validation Loss Decreased(0.01161--->0.01161) 	 Saving The Model
Validation Loss Decreased(0.01161--->0.01161) 	 Saving The Model
Validation Loss Decreased(0.01161--->0.01160) 	 Saving The Model
Validation Loss Decreased(0.01160--->0.01160) 	 Saving The Model
Validation Loss Decreased(0.01160--->0.01159) 	 Saving The Model
Validation Loss Decreased(0.01159--->0.01159) 	 Saving The Model
Validation Loss Decreased(0.01159--->0.01159) 	 Saving The Model
Validation Loss Decreased(0.01159--->0.01158) 	 Saving The Model
Validation Loss Decreased(0.01158--->0.01158) 	 Saving The Model
Validation Loss Decreased(0.01158--->0.01157) 	 Saving The Model
Validation Loss Decreased(0.01157--->0.01157) 	 Saving The Model
Validation Loss Decreased(0.01157--->0.01157) 	 Saving The Model
Validation Loss Decreased(0.01157--->0.01156) 	 Saving The Model
Validation Loss Decreased(0.01156--->0.01156) 	 Saving The Model
Validation Loss Decreased(0.01156--->0.01155) 	 Saving The Model
Validation Loss Decreased(0.01155--->0.01155) 	 Saving The Model
Validation Loss Decreased(0.01155--->0.01155) 	 Saving The Model
Validation Loss Decreased(0.01155--->0.01154) 	 Saving The Model
Validation Loss Decreased(0.01154--->0.01154) 	 Saving The Model
Epoch 300 		 Training Loss: 0.00980 		 Validation Loss: 0.01154
Validation Loss Decreased(0.01154--->0.01154) 	 Saving The Model
Validation Loss Decreased(0.01154--->0.01153) 	 Saving The Model
Validation Loss Decreased(0.01153--->0.01153) 	 Saving The Model
Validation Loss Decreased(0.01153--->0.01152) 	 Saving The Model
Validation Loss Decreased(0.01152--->0.01152) 	 Saving The Model
Validation Loss Decreased(0.01152--->0.01152) 	 Saving The Model
Validation Loss Decreased(0.01152--->0.01151) 	 Saving The Model
Validation Loss Decreased(0.01151--->0.01151) 	 Saving The Model
Validation Loss Decreased(0.01151--->0.01151) 	 Saving The Model
Validation Loss Decreased(0.01151--->0.01150) 	 Saving The Model
Validation Loss Decreased(0.01150--->0.01150) 	 Saving The Model
Validation Loss Decreased(0.01150--->0.01150) 	 Saving The Model
Validation Loss Decreased(0.01150--->0.01149) 	 Saving The Model
Validation Loss Decreased(0.01149--->0.01149) 	 Saving The Model
Validation Loss Decreased(0.01149--->0.01149) 	 Saving The Model
Validation Loss Decreased(0.01149--->0.01148) 	 Saving The Model
Validation Loss Decreased(0.01148--->0.01148) 	 Saving The Model
Validation Loss Decreased(0.01148--->0.01148) 	 Saving The Model
Validation Loss Decreased(0.01148--->0.01147) 	 Saving The Model
Validation Loss Decreased(0.01147--->0.01147) 	 Saving The Model
Validation Loss Decreased(0.01147--->0.01147) 	 Saving The Model
Validation Loss Decreased(0.01147--->0.01147) 	 Saving The Model
Validation Loss Decreased(0.01147--->0.01146) 	 Saving The Model
Validation Loss Decreased(0.01146--->0.01146) 	 Saving The Model
Validation Loss Decreased(0.01146--->0.01146) 	 Saving The Model
Validation Loss Decreased(0.01146--->0.01145) 	 Saving The Model
Validation Loss Decreased(0.01145--->0.01145) 	 Saving The Model
Validation Loss Decreased(0.01145--->0.01145) 	 Saving The Model
Validation Loss Decreased(0.01145--->0.01144) 	 Saving The Model
Validation Loss Decreased(0.01144--->0.01144) 	 Saving The Model
Validation Loss Decreased(0.01144--->0.01144) 	 Saving The Model
Validation Loss Decreased(0.01144--->0.01144) 	 Saving The Model
Validation Loss Decreased(0.01144--->0.01143) 	 Saving The Model
Validation Loss Decreased(0.01143--->0.01143) 	 Saving The Model
Validation Loss Decreased(0.01143--->0.01143) 	 Saving The Model
Validation Loss Decreased(0.01143--->0.01143) 	 Saving The Model
Validation Loss Decreased(0.01143--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01142) 	 Saving The Model
Validation Loss Decreased(0.01142--->0.01141) 	 Saving The Model
Validation Loss Decreased(0.01141--->0.01141) 	 Saving The Model
Validation Loss Decreased(0.01141--->0.01141) 	 Saving The Model
Validation Loss Decreased(0.01141--->0.01141) 	 Saving The Model
Validation Loss Decreased(0.01141--->0.01140) 	 Saving The Model
Validation Loss Decreased(0.01140--->0.01140) 	 Saving The Model
Validation Loss Decreased(0.01140--->0.01140) 	 Saving The Model
Validation Loss Decreased(0.01140--->0.01140) 	 Saving The Model
Validation Loss Decreased(0.01140--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01139) 	 Saving The Model
Validation Loss Decreased(0.01139--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01138) 	 Saving The Model
Validation Loss Decreased(0.01138--->0.01137) 	 Saving The Model
Validation Loss Decreased(0.01137--->0.01137) 	 Saving The Model
Validation Loss Decreased(0.01137--->0.01137) 	 Saving The Model
Validation Loss Decreased(0.01137--->0.01137) 	 Saving The Model
Validation Loss Decreased(0.01137--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01135) 	 Saving The Model
Validation Loss Decreased(0.01135--->0.01135) 	 Saving The Model
Validation Loss Decreased(0.01135--->0.01135) 	 Saving The Model
Validation Loss Decreased(0.01135--->0.01135) 	 Saving The Model
Validation Loss Decreased(0.01135--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01134) 	 Saving The Model
Validation Loss Decreased(0.01134--->0.01133) 	 Saving The Model
Validation Loss Decreased(0.01133--->0.01133) 	 Saving The Model
Validation Loss Decreased(0.01133--->0.01133) 	 Saving The Model
Validation Loss Decreased(0.01133--->0.01133) 	 Saving The Model
Validation Loss Decreased(0.01133--->0.01133) 	 Saving The Model
Validation Loss Decreased(0.01133--->0.01132) 	 Saving The Model
Validation Loss Decreased(0.01132--->0.01132) 	 Saving The Model
Validation Loss Decreased(0.01132--->0.01132) 	 Saving The Model
Validation Loss Decreased(0.01132--->0.01132) 	 Saving The Model
Validation Loss Decreased(0.01132--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01131) 	 Saving The Model
Validation Loss Decreased(0.01131--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01130) 	 Saving The Model
Validation Loss Decreased(0.01130--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01129) 	 Saving The Model
Validation Loss Decreased(0.01129--->0.01128) 	 Saving The Model
Validation Loss Decreased(0.01128--->0.01128) 	 Saving The Model
Epoch 400 		 Training Loss: 0.00967 		 Validation Loss: 0.01128
Validation Loss Decreased(0.01128--->0.01128) 	 Saving The Model
Validation Loss Decreased(0.01128--->0.01128) 	 Saving The Model
Validation Loss Decreased(0.01128--->0.01128) 	 Saving The Model
Validation Loss Decreased(0.01128--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01127) 	 Saving The Model
Validation Loss Decreased(0.01127--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01126) 	 Saving The Model
Validation Loss Decreased(0.01126--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01125) 	 Saving The Model
Validation Loss Decreased(0.01125--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01124) 	 Saving The Model
Validation Loss Decreased(0.01124--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01123) 	 Saving The Model
Validation Loss Decreased(0.01123--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01122) 	 Saving The Model
Validation Loss Decreased(0.01122--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01121) 	 Saving The Model
Validation Loss Decreased(0.01121--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01120) 	 Saving The Model
Validation Loss Decreased(0.01120--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01119) 	 Saving The Model
Validation Loss Decreased(0.01119--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01118) 	 Saving The Model
Validation Loss Decreased(0.01118--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01117) 	 Saving The Model
Validation Loss Decreased(0.01117--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01116) 	 Saving The Model
Validation Loss Decreased(0.01116--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01114) 	 Saving The Model
Validation Loss Decreased(0.01114--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
Validation Loss Decreased(0.01113--->0.01113) 	 Saving The Model
